year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2010,64,Kansas,1,90,Lehigh,16,74
2010,64,Northern Iowa,9,69,UNLV,8,66
2010,64,Michigan State,5,70,New Mexico State,12,67
2010,64,Maryland,4,89,Houston,13,77
2010,64,Tennessee,6,62,San Diego State,11,59
2010,64,Ohio,14,97,Georgetown,3,83
2010,64,Georgia Tech,10,64,Oklahoma State,7,59
2010,64,Ohio State,2,68,UC Santa Barbara,15,51
2010,32,Northern Iowa,9,69,Kansas,1,67
2010,32,Michigan State,5,85,Maryland,4,83
2010,32,Tennessee,6,83,Ohio,14,68
2010,32,Ohio State,2,75,Georgia Tech,10,66
2010,16,Michigan State,5,59,Northern Iowa,9,52
2010,16,Tennessee,6,76,Ohio State,2,73
2010,8,Michigan State,5,70,Tennessee,6,69
2010,64,Syracuse,1,79,Vermont,16,56
2010,64,Gonzaga,8,67,Florida State,9,60
2010,64,Butler,5,77,UTEP,12,59
2010,64,Murray State,13,66,Vanderbilt,4,65
2010,64,Xavier,6,65,Minnesota,11,54
2010,64,Pittsburgh,3,89,Oakland,14,66
2010,64,BYU,7,99,Florida,10,92
2010,64,Kansas State,2,82,North Texas,15,62
2010,32,Syracuse,1,87,Gonzaga,8,65
2010,32,Butler,5,54,Murray State,13,52
2010,32,Xavier,6,71,Pittsburgh,3,68
2010,32,Kansas State,2,84,BYU,7,72
2010,16,Butler,5,63,Syracuse,1,59
2010,16,Kansas State,2,101,Xavier,6,96
2010,8,Butler,5,63,Kansas State,2,56
2010,64,Kentucky,1,100,East Tennessee State,16,71
2010,64,Wake Forest,9,81,Texas,8,80
2010,64,Cornell,12,78,Temple,5,65
2010,64,Wisconsin,4,53,Wofford,13,49
2010,64,Washington,11,80,Marquette,6,78
2010,64,New Mexico,3,62,Montana,14,57
2010,64,Missouri,10,86,Clemson,7,78
2010,64,West Virginia,2,77,Morgan State,15,50
2010,32,Kentucky,1,90,Wake Forest,9,60
2010,32,Cornell,12,87,Wisconsin,4,69
2010,32,Washington,11,82,New Mexico,3,64
2010,32,West Virginia,2,68,Missouri,10,59
2010,16,Kentucky,1,62,Cornell,12,45
2010,16,West Virginia,2,69,Washington,11,56
2010,8,West Virginia,2,73,Kentucky,1,66
2010,64,Duke,1,73,Arkansas-Pine Bluff,16,44
2010,64,California,8,77,Louisville,9,62
2010,64,Texas A&M,5,69,Utah State,12,53
2010,64,Purdue,4,72,Siena,13,64
2010,64,Old Dominion,11,51,Notre Dame,6,50
2010,64,Baylor,3,68,Sam Houston State,14,59
2010,64,Saint Mary's,10,80,Richmond,7,71
2010,64,Villanova,2,73,Robert Morris,15,70
2010,32,Duke,1,68,California,8,53
2010,32,Purdue,4,63,Texas A&M,5,61
2010,32,Baylor,3,76,Old Dominion,11,68
2010,32,Saint Mary's,10,75,Villanova,2,68
2010,16,Duke,1,70,Purdue,4,57
2010,16,Baylor,3,72,Saint Mary's,10,49
2010,8,Duke,1,78,Baylor,3,71
2010,4,Butler,5,52,Michigan State,5,50
2010,4,Duke,1,78,West Virginia,2,57
2010,2,Duke,1,61,Butler,5,59
